post_id,person,posted_at,text_clean,rule_topic,manual_topic
post_002297,Trump,2024-12-04 15:58:33,"I am delighted to nominate Jared Isaacman, an accomplished business leader, philanthropist, pilot, and astronaut, as Administrator of the National Aeronautics and Space Administration NASA. Jared will drive NASAs mission of discovery and inspiration, paving the way for groundbreaking achievements in Space science, technology, and exploration. Over the past 25 years, as the Founder and CEO of Shift4, Jared has demonstrated exceptional leadership, building a trailblazing global financial technology company. He also co-founded and served as CEO of Draken International, a defense aerospace company, for over a decade, supporting the U.S. Department of Defense, and our Allies. Jareds passion for Space, astronaut experience, and dedication to pushing the boundaries of exploration, unlocking the mysteries of the universe, and advancing the new Space economy, make him ideally suited to lead NASA into a bold new Era. Congratulations to Jared, his wife Monica, and their children, Mila Liv!",jobs_economy,other
post_001124,Trump,2024-02-29 18:57:12,"Congressman William Timmons is a terrific advocate for the people of South Carolinas 4th Congressional District! A Captain in the Air National Guard, he fights hard to Secure our Border, Strengthen our Military, Support our Veterans, Grow the Economy, Defend our Second Amendment, and Hold Joe Biden and the Radical Left Accountable. An original Member of my South Carolina Leadership Team, Congressman William Timmons has my Complete and Total Endorsement!",jobs_economy,other
post_000601,Musk,2023-08-31 19:12:48,Perhaps AI can help us answer some of these fundamental questions. That is the goal of .,ai,ai
post_000741,Trump,2023-10-25 01:43:18,"I dont think Mark Meadows would lie about the Rigged and Stollen 2020 Presidential Election merely for getting IMMUNITY against Prosecution PERSECUTION! by Deranged Prosecutor, Jack Smith. BUT, when you really think about it, after being hounded like a dog for three years, told youll be going to jail for the rest of your life, your money and your family will be forever gone, and were not at all interested in exposing those that did the RIGGING If you say BAD THINGS about that terrible MONSTER, DONALD J. TRUMP, we wont put you in prison, you can keep your family and your wealth, and, perhaps, if you can make up some really horrible STUFF a out him, we may very well erect a statue of you in the middle of our decaying and now very violent Capital, Washington, D.C. Some people would make that deal, but they are weaklings and cowards, and so bad for the future our Failing Nation. I dont think that Mark Meadows is one of them, but who really knows? MAKE AMERICA GREAT AGAIN!!!",trade_policy,other
post_001127,Musk,2024-03-02 03:49:06,The lawyers who did nothing but damage Tesla want $6 billion. Criminal.,tesla_business,tesla_business
post_001102,Musk,2024-02-23 00:19:54,"Im exaggerating, of course, but the tragic part is that it is directionally correct. Also, Im not picking on some rando. This nut is a big part of why Googles AI is so racist amp sexist.",ai,ai
post_001491,Trump,2024-05-26 20:27:49,"Congressman David Kustoff is a tireless advocate for Tennessees 8th Congressional District! nA former U.S. Attorney, David is working hard to Uphold the Rule of Law, Fight Crime, Secure our Border, Lower your Taxes, Grow the Economy, Support our Veterans, Strengthen our Military, and Protect our always under siege Second Amendment. nDavid Kustoff has my Complete and Total Endorsement!",jobs_economy,other
post_000044,Trump,2023-01-15 22:55:05,"BREAKING Japan readies for war with China, to builds new military bases on islands near Taiwan n thepostmillennial.comjapan-re adies-for-war-with-china-builds-new-military-bases-near-taiwan?utm_campaign64483",china,other
post_001556,Musk,2024-06-09 01:56:41,"Ive mentioned something like this before, but, if any of my companies goes public, we will prioritize other longtime shareholders of my other companies, including Tesla. Loyalty deserves loyalty.",tesla_business,tesla_business
post_002045,Musk,2024-10-01 18:55:16,"Hes making the right move from what I can see, but sustained prosperity will take a few years. Argentina has to have free international currency exchange, equal rule of law for all, domestic and foreign, and a balanced budget. Prosperity will then follow, as it always has.",doge_budget_feud,other
post_000052,Trump,2023-01-18 22:05:52,"Why arent they asking President Obama whats going on with his Administration? Crooked Hillary took and illegally deleted and acid washed 33,000 Emails AFTER getting a Subpoena for those Emails from the United States Congress, and who knows how many Classified Documents Joe took, especially pertaining to Ukraine and China. Maybe Trump Hating Special Prosecutor Jack Smith, who is doing the dirty work for his Marxist Democrat friends, should do the right thing for our Country!",china,other
post_002092,Trump,2024-10-11 23:19:55,"Congressman Mike Flood is an incredible Advocate for the Wonderful People of Nebraskas 1st Congressional District!n nMike is doing an outstanding job in Congress, where he is fighting hard to Secure our Border, Stop Inflation, Champion our Great Farmers and American Agriculture, Support our Brave MilitaryVeterans, Promote Energy DOMINANCE, and Defend our always under siege Second Amendment.n nMike Flood has my Complete and Total Endorsement HE WILL NOT LET YOU DOWN!",macro_economy,other
post_002871,Musk,2025-03-29 01:53:37,Senator John Kennedy called the DOGE mission the most important in the history of ever. He's correct. If we don't,doge_budget_feud,doge_budget_feud
post_000436,Trump,2023-06-20 16:12:23,"Using Impoundment to Slash Waste, Stop Inflation, and Crush the Deep State! AGENDA47",macro_economy,macro_economy
post_002031,Trump,2024-09-25 18:53:34,"PRESIDENT TRUMP Kamala has been there for almost 4 years, and she didnt CREATE wealth. She DESTROYED 22% of the value of every dollar in your pocket She didnt SUPPORT domestic manufacturing. She KILLED 24,000 U.S. manufacturing jobs last month alone.",jobs_economy,jobs_economy
post_002677,Musk,2025-02-27 15:21:45,"The taxpayer savings receipts, including corrections when mistakes are made, are posted on the DOGE website. When there are complaints, they should be directed towards specific items, but they just yell constitutional crisis! and avoid mention of specific line items.",doge_budget_feud,doge_budget_feud
post_002553,Trump,2025-02-11 13:35:23,"DOGE BILLIONS OF DOLLARS OF WASTE, FRAUD, AND ABUSE BRING FOUND. CAMPAIGN PROMISE. IMPORTANT FOR AMERICA!!!",doge_budget_feud,doge_budget_feud
post_000203,Trump,2023-03-12 20:33:26,"Nobody, in history, did more for the FARMERS of our Country than I did. Even got them 28 Billion Dollars from China based on how unfairly they were treated, before me, by the Chinese Government. People couldnt believe it. Nobodys going to win with the Farmers but Donald J. Trump. Will be in Iowa on Monday. Big crowd!",china,china
post_002206,Musk,2024-11-02 19:31:29,Take a long trip in a Tesla and everything just works,tesla_business,tesla_business
post_002272,Trump,2024-11-26 14:26:01,"I am hearing that America First Patriot Randy Fine is considering launching his Campaign for Congress in Florida's 6th Congressional District!n nA Harvard Educated, Successful Businessman, and Highly Respected State Legislator, Randy has been an incredible Voice for MAGA, and the Great People of Florida. In Congress, Randy will be an INCREDIBLE Fighter who will work tirelessly with me to Stop Inflation, Grow our Economy, Secure the Border, Champion our MilitaryVets, Restore American Energy DOMINANCE, Protect our always under siege Second Amendment, and Restore PEACE THROUGH STRENGTH.n nShould he decide to enter this Race, Randy Fine has my Complete and Total Endorsement. RUN, RANDY, RUN!",jobs_economy,other
post_001344,Trump,2024-04-25 17:47:42,"Steamfitters Local 638 manager It was great to see the president come and engage with the blue collar worker of New York City...I put out a poll in my union, President Trump is leading Joe Biden 3 to 1...we are very tired of...inflation, gas prices, illegal immigration...",macro_economy,other
post_001583,Trump,2024-06-13 22:16:06,"Congressman Neal Dunn is a tremendous champion for Floridas 2nd Congressional District! nAn accomplished surgeon and a retired Major in the U.S. Army, Neal is fighting hard to Deliver Quality Care to our Brave Veterans, Strengthen our Military, Grow the Economy, Lower Inflation, Restore American Energy Independence, and Protect our always under siege Second Amendment. nNeal Dunn has my Complete and Total EndorsementHE WILL NEVER LET YOU DOWN!",jobs_economy,other
post_002573,Trump,2025-02-14 20:35:10,Trump announces boldest tariff plan in more than a century 'This is the big one' dailymail.co.uknewsarticle-1 4394937Trump-reciprocal-tariffs-trade-unfair.html,tariff,tariff
post_001961,Musk,2024-09-11 14:45:35,"If you want to know more about the content of a post, just highlight and ask Grok!",ai,ai
post_000270,Musk,2023-03-31 18:48:07,The AI carousel spins ever faster,ai,ai
post_000298,Musk,2023-04-13 00:15:45,"This is why paid verification is essential. Wont stop people using AI for impersonation amp scams, but it increases cost amp difficulty of doing so by several orders of magnitude.",ai,ai
post_002423,Trump,2024-12-26 18:42:46,foxnews.comopinionwatch-trum p-reverse-bidens-dumpster-fire-economy-watch-dems-try-take-credit-success,jobs_economy,jobs_economy
post_001525,Trump,2024-05-31 22:57:20,".There is no one in America who would go through what he is going through for us. Not one person, and President Trump is the only one that can give us our Country back - A Secure Border, deport the Criminals, lock up the Terrorists, bring Law and Order back to our Communities, bring down Inflation, strengthen our Military, make us Energy Independent again, and put an end to this Woke Culture that doesnt bring us together, but only divides us, and so much moreNo matter what they throw at him, he just wont quit because he knows the future of our Nation is at riskNo President in History has been attacked more than him, and hes standing firm for you and meTHE ONLY WAY TO MAKE AMERICA GREAT AGAIN IS TO ELECT PRESIDENT TRUMP ONCE AGAIN TO THE WHITE HOUSE!",macro_economy,other
post_001637,Trump,2024-06-26 10:42:00,"GREG KELLY A DARK DAY IN AMERICA. www.youtube.com Greg Kelly The FBI reached new heights with targeting Trump On Tuesday's episode of Greg Kelly Record Greg talked about the FBI targeting former President Donald Trump, discussed Julian Assange's plea deal with the ...",trade_policy,other
post_002437,Musk,2025-01-01 10:46:23,Make a beautiful custom greeting or birthday card with Grok instantly!,ai,ai
post_001097,Musk,2024-02-22 04:07:51,Which path do you want for AI?,ai,ai
post_001244,Musk,2024-03-26 18:56:04,Teslas self-driving AI will be vastly better than human,ai,ai
post_001125,Trump,2024-03-01 02:00:18,"Florida State Rep. Randy Fine is a MAGA Warrior who will stand up to anyone to advance the America First agenda! One of our only elected Jewish Republicans, he stands with me for an America that brings Peace through Strength, and an Economy that works for our Nations families. I need him in the Florida Senate, and he has my Complete and Total Endorsement!",jobs_economy,other
post_001255,Trump,2024-03-31 15:42:55,breitbart.compolitics202403 21swing-state-democrats-agree-with-donald-trump-u-s-needs-aggressive-tariffs-on-china-made-cars,tariff,tariff
post_000251,Musk,2023-03-27 03:48:31,"Given that modern AI can solve any prove youre not a robot tests, its now trivial to spin up 100k human-like bots for less than a penny per account. Paid verification increases bot cost by 10,000% amp makes it much easier to identify bots by phone amp CC clustering. Obvious",ai,ai
post_000139,Trump,2023-02-15 23:57:26,"It was great having Alex Arnault of LVMH, and his wonderful wife, Géraldine, for dinner at Mar-a-Lago. He is a young man on the move, the son of one of the great businessmen and leaders in Europe, and in the World. We were celebrating the deal we made on the former Nike Store on East 57th Street and Fifth Avenue. Alex is very excited about the re-opening of Tiffany. It will be a truly spectacular renovation, and bring Tiffany into a new Era of fabulous Success and Growth!",trade_policy,other
post_000196,Trump,2023-03-10 17:57:18,"Remember FARMERS, I got China to pay you 28 Billion Dollars as an adjustment for how unfairly they treated you. This was part of the great Trade Deal I made for you with China Biden is not properly enforcing it!. No other President could have done this. No other President was as PRO FARMER as me. Tell that to Ron DeSanctimonious when he shows up to your door, hat in hand. Tell him to go home!",china,china
post_002309,Trump,2024-12-06 02:06:56,"Page 2n nActing Director of Immigration and Customs EnforcementnCaleb Vitellon nA member of the Senior Executive Service, with over 23 years of service to ICE, Caleb currently serves as Assistant Director of the Office of Firearms and Tactical Programs, where he oversees Agency-wide training, equipment, and policy to ensure Officer and Public Safety.n nCaleb led the Fugitive Operations Academy, served as Deputy Assistant Director, and directed the National Fugitive Operations Program, providing policy guidance, strategic planning, and operational oversight for efforts to locate, arrest, and remove at-large, dangerous criminals and illegal aliens from the U.S. As Chief of Staff for Enforcement and Removal Operations, he managed daily operations for an organization with a $4.7 Billion Dollar budget and 8,000 employees. At the White House National Security Council, Caleb led initiatives focused on child safety and national security threats",macro_economy,other
